Source,SampleID,Year,Month,Day,TofD,Gear,FishTime,Basin,POI,Site,Habitat,Conductivity,Target_current,CommonName,CountLarge,CountSmall
INHS,14008286,2018,7,2,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,421,19,Silver Carp,9,0
INHS,14008287,2018,7,2,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,419,19,Silver Carp,19,0
INHS,14008288,2018,7,2,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,418,19,Silver Carp,6,0
INHS,14008290,2018,7,3,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,406,19,Silver Carp,3,0
INHS,14008292,2018,7,3,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,403,19,Silver Carp,17,0
INHS,14008293,2018,7,5,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,410,20,Silver Carp,6,14
INHS,14008296,2018,7,6,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,390,20,Silver Carp,0,4
INHS,14008297,2018,7,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,410,18,Silver Carp,12,0
INHS,14008308,2018,7,12,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,379,19,Silver Carp,1,65
INHS,14008310,2018,7,12,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,379,19,Silver Carp,0,56
INHS,14008311,2018,7,12,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,380,19,Silver Carp,0,63
INHS,14008335,2018,7,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,409,19,Silver Carp,9,0
INHS,14008336,2018,7,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,412,19,Silver Carp,2,0
INHS,14008338,2018,7,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,397,20,Silver Carp,0,1
INHS,14008354,2018,7,27,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,476,20,Silver Carp,19,0
INHS,14008356,2018,7,27,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,477,19,Silver Carp,11,0
INHS,14008364,2018,7,30,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,468,20,Silver Carp,0,14
INHS,14008368,2018,7,30,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,468,20,Silver Carp,0,1
INHS,14008369,2018,8,2,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,465,20,Silver Carp,9,0
INHS,14008370,2018,8,2,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,467,19,Silver Carp,0,1
INHS,14008371,2018,8,6,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,527,21,Silver Carp,1,0
INHS,14008374,2018,8,7,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,505,19,Silver Carp,1,11
INHS,14008375,2018,8,7,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,442,19,Silver Carp,1,0
INHS,14008376,2018,8,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,457,20,Silver Carp,0,34
INHS,14008377,2018,8,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,457,20,Silver Carp,0,16
INHS,14008379,2018,8,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,486,21,Silver Carp,0,191
INHS,14008380,2018,8,9,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,486,19,Silver Carp,0,15
INHS,14008412,2018,8,22,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,481,20,Silver Carp,0,55
INHS,14008413,2018,8,22,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,545,20,Silver Carp,1,20
INHS,14008414,2018,8,22,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,422,19,Silver Carp,0,2
INHS,14008415,2018,8,28,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,425,20,Silver Carp,2,0
INHS,14008417,2018,8,29,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,462,19,Silver Carp,0,55
INHS,14008418,2018,8,31,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,421,17,Silver Carp,0,17
INHS,14008419,2018,8,31,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Impounded,421,17,Silver Carp,0,60
INHS,14008463,2018,9,13,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,342,18,Silver Carp,0,2
INHS,14008464,2018,9,13,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,350,19,Silver Carp,5,3
INHS,14008465,2018,9,13,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,350,17,Silver Carp,1,0
INHS,14008466,2018,9,17,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,492,20,Silver Carp,1,3
INHS,14008479,2018,9,20,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,399,19,Silver Carp,1,5
INHS,14008481,2018,9,20,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Backwater,406,19,Silver Carp,3,1
INHS,14008484,2018,9,25,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,422,17,Silver Carp,2,0
INHS,14008486,2018,9,24,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,410,16,Silver Carp,1,0
INHS,14008487,2018,9,24,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,415,17,Silver Carp,4,0
INHS,14008488,2018,9,24,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Main channel border,412,17,Silver Carp,2,0
INHS,14008489,2018,9,25,Day,EF,15,UMR,MSR Pool 26 and below,Pool 26,Side channel,419,17,Silver Carp,10,0
