Source,SampleID,Year,Month,Day,TofD,Gear,FishTime,Basin,POI,Site,Habitat,Conductivity,Target_current,CommonName,CountLarge,CountSmall
Columbia FWCO,180904EG01,2018,9,4,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,822,26.1,Silver Carp,12,0
Columbia FWCO,180904EG02,2018,9,4,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,25.6,Silver Carp,11,0
Columbia FWCO,180904EG03,2018,9,4,Day,DT,5.033333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.6,Silver Carp,7,0
Columbia FWCO,180904EG04,2018,9,4,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,25.5,Silver Carp,11,0
Columbia FWCO,180904EG05,2018,9,4,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.2,Silver Carp,17,0
Columbia FWCO,180904EG06,2018,9,4,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,25.5,Silver Carp,13,0
Columbia FWCO,180904EG07,2018,9,4,Day,DT,5,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.1,Silver Carp,1,0
Columbia FWCO,180905EG01,2018,9,5,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,774,27,Silver Carp,2,0
Columbia FWCO,180905EG02,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.1,Silver Carp,13,0
Columbia FWCO,180905EG03,2018,9,5,Day,DT,5.133333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.1,Silver Carp,2,0
Columbia FWCO,180905EG04,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.1,Silver Carp,11,0
Columbia FWCO,180905EG05,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26,Silver Carp,5,0
Columbia FWCO,180905EG06,2018,9,5,Day,DT,5.05,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.8,Silver Carp,1,0
Columbia FWCO,180905EG07,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.2,Silver Carp,10,0
Columbia FWCO,180905EG08,2018,9,5,Day,DT,4.833333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.4,Silver Carp,6,0
Columbia FWCO,180905EG09,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,27,Silver Carp,11,0
Columbia FWCO,180905EG10,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,28.2,Silver Carp,9,0
Columbia FWCO,180905EG11,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.7,Silver Carp,11,0
Columbia FWCO,180905EG12,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.5,Silver Carp,14,0
Columbia FWCO,180905EG13,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.5,Silver Carp,12,0
Columbia FWCO,180905EG14,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,28.2,Silver Carp,5,0
Columbia FWCO,180905EG15,2018,9,5,Day,DT,4.666666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,28,Silver Carp,17,0
Columbia FWCO,180905EG16,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.1,Silver Carp,2,0
Columbia FWCO,180905EG17,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.2,Silver Carp,6,0
Columbia FWCO,180905EG18,2018,9,5,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27,Silver Carp,3,0
Columbia FWCO,180906EG01,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,778,26.6,Silver Carp,9,0
Columbia FWCO,180906EG02,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.4,Silver Carp,10,0
Columbia FWCO,180906EG03,2018,9,6,Day,DT,5.133333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.5,Silver Carp,18,0
Columbia FWCO,180906EG04,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,26.3,Silver Carp,9,0
Columbia FWCO,180906EG05,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,26.8,Silver Carp,13,0
Columbia FWCO,180906EG06,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,24.5,Silver Carp,15,0
Columbia FWCO,180906EG07,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.1,Silver Carp,1,0
Columbia FWCO,180906EG08,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.5,Silver Carp,21,0
Columbia FWCO,180906EG09,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27,Silver Carp,2,0
Columbia FWCO,180906EG10,2018,9,6,Day,DT,5.283333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,27,Silver Carp,14,0
Columbia FWCO,180906EG11,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.5,Silver Carp,6,0
Columbia FWCO,180906EG13,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Side channel,NA,27.2,Silver Carp,14,0
Columbia FWCO,180906EG14,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.5,Silver Carp,6,0
Columbia FWCO,180906EG15,2018,9,6,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.7,Silver Carp,17,0
Columbia FWCO,180906EG16,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.6,Silver Carp,14,0
Columbia FWCO,180906EG17,2018,9,6,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27.1,Silver Carp,5,0
Columbia FWCO,180906EG18,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,NA,Silver Carp,6,0
Columbia FWCO,180906EG19,2018,9,6,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.2,Silver Carp,14,0
Columbia FWCO,180906EG20,2018,9,6,Day,DT,5.116666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,28.9,Silver Carp,11,0
Columbia FWCO,180906EG21,2018,9,6,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,27,Silver Carp,6,0
Columbia FWCO,180906EG22,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.6,Silver Carp,18,0
Columbia FWCO,180906EG24,2018,9,6,Day,DT,5.05,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.5,Silver Carp,8,0
Columbia FWCO,180906EG25,2018,9,6,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-Alton,Main channel border,NA,26.7,Silver Carp,6,0
Columbia FWCO,180910EG01,2018,9,10,Day,DT,5.033333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,571,18.5,Silver Carp,20,1
Columbia FWCO,180910EG02,2018,9,10,Day,DT,5.016666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,18.5,Silver Carp,9,0
Columbia FWCO,180910EG03,2018,9,10,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,18.5,Silver Carp,3,0
Columbia FWCO,180910EG05,2018,9,10,Day,DT,5.05,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,18.6,Silver Carp,7,0
Columbia FWCO,180910EG06,2018,9,10,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,18.6,Silver Carp,1,0
Columbia FWCO,180910EG07,2018,9,10,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,18.5,Silver Carp,5,0
Columbia FWCO,180911EG01,2018,9,11,Day,DT,5.166666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,607,19.8,Silver Carp,3,0
Columbia FWCO,180911EG02,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,20.2,Silver Carp,4,0
Columbia FWCO,180911EG03,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,19.6,Silver Carp,9,0
Columbia FWCO,180911EG04,2018,9,11,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,20.1,Silver Carp,15,0
Columbia FWCO,180911EG05,2018,9,11,Day,DT,5.166666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,20.1,Silver Carp,6,0
Columbia FWCO,180911EG06,2018,9,11,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,20.6,Silver Carp,11,0
Columbia FWCO,180911EG07,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,21,Silver Carp,7,0
Columbia FWCO,180911EG08,2018,9,11,Day,DT,5.083333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,20.5,Silver Carp,8,0
Columbia FWCO,180911EG10,2018,9,11,Day,DT,5,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,19.8,Silver Carp,11,0
Columbia FWCO,180911EG11,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,19.3,Silver Carp,8,0
Columbia FWCO,180911EG12,2018,9,11,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Main channel border,NA,20.6,Silver Carp,14,0
Columbia FWCO,180911EG13,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Side channel,NA,21.5,Silver Carp,13,0
Columbia FWCO,180911EG14,2018,9,11,Day,DT,5.066666667,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Backwater,NA,19.6,Silver Carp,3,1
Columbia FWCO,180911EG15,2018,9,11,Day,DT,5,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Backwater,NA,19.8,Silver Carp,9,0
Columbia FWCO,180911EG16,2018,9,11,Day,DT,5.1,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Backwater,NA,19.8,Silver Carp,7,0
Columbia FWCO,180911EG17,2018,9,11,Day,DT,5,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Backwater,NA,20.3,Silver Carp,8,0
Columbia FWCO,180911EG18,2018,9,11,Day,DT,5.033333333,UMR,Illinois River Pools (Alton upstream to Peoria),Illinois River-LaGrange,Backwater,NA,21,Silver Carp,11,0
